modelo,M,C,M/C,C/M
Focus,1198,11.9,100.67226890756302,0.00993322203672788
Crown Victoria,1715,6.8,252.2058823529412,0.003965014577259475
Expedition,2530,5.53,457.50452079566,0.0021857707509881424
Explorer,2014,6.38,315.6739811912226,0.003167825223435948
F-150,2136,5.53,386.25678119349004,0.0025889513108614233
Fusion,1492,8.5,175.52941176470588,0.005697050938337802
Taurus,1652,7.65,215.94771241830065,0.004630750605326877
Fit,1168,13.6,85.88235294117648,0.011643835616438355
Accord,1492,9.78,152.55623721881392,0.006554959785522787
CR-V,1602,8.93,179.3952967525196,0.005574282147315855
Civic,1192,11.9,100.16806722689076,0.009983221476510068
Ridgeline,2045,6.38,320.5329153605016,0.003119804400977995
